Date,Symbol,Open,Close
2020-04-21,TATAMOTORS,78.0,74.65
2020-04-22,TATAMOTORS,74.45,75.9
2020-04-23,TATAMOTORS,76.75,75.65
2020-04-24,TATAMOTORS,75.0,74.2
2020-04-27,TATAMOTORS,75.9,75.25
2020-04-28,TATAMOTORS,75.65,76.95
2020-04-29,TATAMOTORS,77.45,78.15
2020-04-30,TATAMOTORS,85.95,93.25
2020-05-04,TATAMOTORS,87.0,83.9
2020-05-05,TATAMOTORS,86.0,80.9
2020-05-06,TATAMOTORS,81.55,83.2
2020-05-07,TATAMOTORS,82.9,82.5
2020-05-08,TATAMOTORS,84.5,81.05
2020-05-11,TATAMOTORS,81.45,86.1
2020-05-12,TATAMOTORS,85.95,86.2
2020-05-13,TATAMOTORS,92.5,87.2
2020-05-14,TATAMOTORS,83.95,83.8
2020-05-15,TATAMOTORS,84.7,84.35
2020-05-18,TATAMOTORS,84.5,80.65
2020-05-19,TATAMOTORS,82.5,81.8
2020-05-20,TATAMOTORS,81.25,83.45
2020-05-21,TATAMOTORS,83.1,84.1
2020-05-22,TATAMOTORS,83.4,82.8
2020-05-26,TATAMOTORS,83.9,83.1
2020-05-27,TATAMOTORS,84.1,84.55
2020-05-28,TATAMOTORS,86.0,87.0
2020-05-29,TATAMOTORS,85.55,87.0
2020-06-01,TATAMOTORS,88.9,89.55
2020-06-02,TATAMOTORS,90.0,96.5
2020-06-03,TATAMOTORS,100.0,98.75
2020-06-04,TATAMOTORS,99.0,98.5
2020-06-05,TATAMOTORS,100.45,110.75
2020-06-08,TATAMOTORS,114.0,115.45
2020-06-09,TATAMOTORS,117.45,111.45
2020-06-10,TATAMOTORS,111.0,111.4
2020-06-11,TATAMOTORS,109.9,106.15
2020-06-12,TATAMOTORS,98.0,105.3
2020-06-15,TATAMOTORS,104.65,100.5
2020-06-16,TATAMOTORS,102.0,94.75
2020-06-17,TATAMOTORS,93.0,95.4
2020-06-18,TATAMOTORS,95.0,96.35
2020-06-19,TATAMOTORS,96.5,102.5
2020-06-22,TATAMOTORS,102.35,102.65
2020-06-23,TATAMOTORS,103.0,104.4
2020-06-24,TATAMOTORS,105.25,104.8
2020-06-25,TATAMOTORS,103.85,103.8
2020-06-26,TATAMOTORS,105.4,101.4
2020-06-29,TATAMOTORS,101.4,99.45
2020-06-30,TATAMOTORS,101.75,98.25
2020-07-01,TATAMOTORS,99.0,100.75
2020-07-02,TATAMOTORS,100.75,101.55
2020-07-03,TATAMOTORS,102.85,103.45
2020-07-06,TATAMOTORS,105.0,109.0
2020-07-07,TATAMOTORS,109.8,109.05
2020-07-08,TATAMOTORS,109.5,105.35
2020-07-09,TATAMOTORS,106.3,106.95
2020-07-10,TATAMOTORS,106.7,107.6
2020-07-13,TATAMOTORS,108.85,108.0
2020-07-14,TATAMOTORS,106.9,105.15
2020-07-15,TATAMOTORS,106.8,103.2
2020-07-16,TATAMOTORS,103.95,102.95
2020-07-17,TATAMOTORS,103.65,106.4
2020-07-20,TATAMOTORS,106.35,105.05
2020-07-21,TATAMOTORS,106.0,108.45
2020-07-22,TATAMOTORS,108.5,105.15
2020-07-23,TATAMOTORS,105.45,106.05
2020-07-24,TATAMOTORS,104.7,103.75
2020-07-27,TATAMOTORS,104.0,101.7
2020-07-28,TATAMOTORS,102.3,106.45
2020-07-29,TATAMOTORS,108.1,105.75
2020-07-30,TATAMOTORS,106.4,103.65
2020-07-31,TATAMOTORS,104.0,104.65
2020-08-03,TATAMOTORS,103.0,113.05
2020-08-04,TATAMOTORS,112.95,111.45
2020-08-05,TATAMOTORS,112.4,115.4
2020-08-06,TATAMOTORS,116.2,116.8
2020-08-07,TATAMOTORS,117.0,119.1
2020-08-10,TATAMOTORS,119.95,123.85
2020-08-11,TATAMOTORS,125.0,122.3
2020-08-12,TATAMOTORS,121.0,125.35
2020-08-13,TATAMOTORS,126.1,131.15
2020-08-14,TATAMOTORS,131.15,124.6
2020-08-17,TATAMOTORS,124.5,123.55
2020-08-18,TATAMOTORS,124.0,125.6
2020-08-19,TATAMOTORS,127.0,125.15
2020-08-20,TATAMOTORS,123.45,121.7
2020-08-21,TATAMOTORS,124.2,120.9
2020-08-24,TATAMOTORS,122.0,121.2
2020-08-25,TATAMOTORS,121.8,127.1
2020-08-26,TATAMOTORS,130.5,137.9
2020-08-27,TATAMOTORS,140.1,144.25
